Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C2073279	Duration of chest pain	duration of chest pain|duration of chest pain (symptom)		
C2129520	Lower back pain radiating to both groins	lower back pain radiating to both groins|lower back pain radiating to both groins (symptom)		
C2108943	Joint pain in middle finger of left hand increased by moving toward little finger	joint pain in middle finger of left hand increased by moving toward little finger|joint pain in middle finger of left hand increased by moving toward little finger (symptom)		
C2017043	Soft tissue pain in toes	soft tissue pain in toes|soft tissue pain in toes (symptom)		
C0152149	Mittelschmerz	Intermenstrual pain|MITTELSCHMERZ|MITTELSCHMERZ PHENOMENON|Mid cycle pain|Mid-cycle pain|Mittelschmerz|Mittelschmerz (finding)|OVULATORY PAIN|Ovulation Pain|Ovulation pain|Ovulation painful|Ovulatory Pain|Pain;intermenstrual|Pain;ovulation|intermenstrual pain|intermenstrual; pain|mid cycle pain|mid-cycle pain|mittelschmerz|mittelschmerz (diagnosis)|ovulation pain|ovulation pains|ovulation; pain|ovulatory pain|pain ovulation|pain; intermenstrual|pain; ovulation|painful ovulation	NCI2016_02D:Painful sensation in one side of the abdomen between menstrual cycles, around the time of the discharge of the ovum from the ovarian follicle.|NCI2016_CTCAE_1602D:A disorder characterized by marked discomfort sensation in one side of the abdomen between menstrual cycles, around the time of the discharge of the ovum from the ovarian follicle.|	ICD10CM_2017:N94.0|ICD9CM_2014:625.2|SNOMEDCT_US_2016_09_01:156024009|SNOMEDCT_US_2016_09_01:43548008
C1388375	Arrhythmia; abnormal heart rate (as a symptom)	arrhythmia; abnormal heart rate (as a symptom)|cardiac arrhythmia; abnormal heart rate (as a symptom)		
C0877167	Psychomotor skills impaired	Psychomotor skills impaired		
C2008827	Frequently become lost	frequently become lost|frequently become lost (symptom)		
C0849971	Feeling of raw throat	Feeling (of);throat raw|feeling of raw throat		
C0751189	Headache, retro-ocular	Headache, Retro-Ocular|Headaches, Retro-Ocular|Retro Ocular Headache|Retro-Ocular Headache|Retro-Ocular Headaches		MSH2017_2016_08_12:D006261
C2012484	Gradual loss of vision in temporal half of visual field	gradual loss of vision in temporal half of visual field|gradual loss of vision in temporal half of visual field (symptom)|slow loss temporal vision		
C1096228	Laryngeal discomfort	Laryngeal discomfort		
C2232275	Skin crust of second toe of left foot	skin crust of second toe of left foot|skin crust of second toe of left foot (symptom)		
C0011991	Loose stools	D - Diarrhea|D - Diarrhoea|DIARRHEA|DIARRHOEA|Diarrhea|Diarrhea (finding)|Diarrhea NOS|Diarrhea [Disease/Finding]|Diarrhea symptom|Diarrhea symptom (finding)|Diarrhea symptom NOS|Diarrhea symptom NOS (context-dependent category)|Diarrhea symptom NOS (finding)|Diarrhea symptoms|Diarrhea symptoms (context-dependent category)|Diarrhea symptoms (finding)|Diarrhea, NOS|Diarrhea, unspecified|Diarrheas|Diarrhoea|Diarrhoea (disorder)|Diarrhoea (finding)|Diarrhoea NOS|Diarrhoea symptom|Diarrhoea symptom NOS|Diarrhoea symptoms|Diarrhoea symptoms (finding)|Finding of diarrhea|Finding of diarrhea (finding)|Finding of diarrhoea|Frequent Stools|LOOSE STOOLS|Loose Stools|Loose bowel motions|Loose bowel movement|Loose stools|Observation of diarrhea|Observation of diarrhoea|Runs(diarrhoea)|STOOLS LOOSE|The runs|The trots|bowel loose movements|bowels loose movement|diarrhea|diarrhea (symptom)|diarrhea running|diarrhea symptoms|diarrheas|diarrhoea|diarrhoea symptoms|loose bowel motion|loose bowel movement|rndx diarrhea|rndx diarrhea (diagnosis)|runs(diarrhea)|runs(diarrhoea)|symptoms diarrhea|watery stool|watery stools	CCC2_5:Abnormal frequency and fluidity of feces|CSP2006:increased liquidity or decreased consistency of feces, such as running stool; fecal consistency is related to the ratio of water-holding capacity of insoluble solids to total water, rather than the amount of water present; diarrhea is not hyperdefecation or increased fecal weight.|HPO2016_07_04:Abnormally increased frequency of loose or watery bowel movements. [HPO:probinson]|MEDLINEPLUS_20151021:<p>Diarrhea means that you have loose, watery stools more than three times in one day. You may also have cramps, bloating, nausea and an urgent need to have a bowel movement. </p> <p>Causes of diarrhea include bacteria, viruses or parasites, certain medicines, food intolerances and diseases that affect the stomach, small intestine or colon. In many cases, no cause can be found. </p> <p>Although usually not harmful, diarrhea can become dangerous or signal a more serious problem. You should talk to your doctor if you have a strong pain in your abdomen or rectum, a fever, blood in your stools, severe diarrhea for more than three days or symptoms of dehydration. If your child has diarrhea, do not hesitate to call the doctor for advice. Diarrhea can be dangerous in children. </p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>|MSH2017_2016_08_12:An increased liquidity or decreased consistency of FECES, such as running stool. Fecal consistency is related to the ratio of water-holding capacity of insoluble solids to total water, rather than the amount of water present. Diarrhea is not hyperdefecation or increased fecal weight.|NANDA-I_2015-2017:Passage of loose, unformed stools.|NCI2016_02D:Watery bowel movements.(NICHD)|NCI2016_CTCAE_1602D:A disorder characterized by frequent and watery bowel movements.|NCI2016_NCI-GLOSS_1602D:Frequent and watery bowel movements.|NCI2016_NICHD_1602D:Watery bowel movements.|	HPO2016_07_04:HP:0002014|ICD10CM_2017:R19.7|ICD9CM_2014:787.91|MSH2017_2016_08_12:D003967|OMIM2016_04_17:MTHU000226|OMIM2016_04_17:MTHU050187|SNOMEDCT_US_2016_09_01:139381002|SNOMEDCT_US_2016_09_01:139383004|SNOMEDCT_US_2016_09_01:162103003|SNOMEDCT_US_2016_09_01:162105005|SNOMEDCT_US_2016_09_01:162108007|SNOMEDCT_US_2016_09_01:267060006|SNOMEDCT_US_2016_09_01:267061005|SNOMEDCT_US_2016_09_01:300388003|SNOMEDCT_US_2016_09_01:62315008|SO:SYMP_0000570|CSSO:CSSO_000102
C0232960	Swelling;premenstrual	Premenstrual swelling|Premenstrual swelling (finding)|Swelling;premenstrual|premenstrual swelling		SNOMEDCT_US_2016_09_01:14272003
C2108885	Joint pain in right middle toe precipitated by	joint pain in right middle toe precipitated by|joint pain in right middle toe precipitated by (symptom)|right middle toe joint pain precipitated		
C2032991	Palpitations started slowly	palpitations started slowly|palpitations started slowly (symptom)|slow onset of palpitations		
C2168114	Left post-auricular pain	left post-auricular pain|left postauricular pain|left-sided postauricular pain|left-sided postauricular pain (symptom)|pain behind the left ear		
C0860561	Skin wetting	Skin wetting		
C2029735	Headache preceded by anopsia	headache preceded by anopsia|headache preceded by loss of all vision in one eye|headache preceded by loss of all vision in one eye (anopsia)|headache preceded by loss of all vision in one eye (symptom)		
C0277990	Coughing up currant jelly sputum	Expectoration of currant jelly sputum|Expectoration of currant jelly sputum (finding)|coughing up currant jelly sputum|coughing up currant jelly sputum (symptom)|currant jelly-like sputum		SNOMEDCT_US_2016_09_01:111987004
C2128478	Arch of left foot is lost	arch of left foot is lost|arch of left foot is lost (symptom)|falllen arch of left foot		
C0155002	Vision loss acute	Acute blindness|Blindness, sudden|Sudden blindness|Sudden blindness (disorder)|Sudden loss of vision|Sudden visual loss|Sudden visual loss (disorder)|Sudden visual loss, unspecified eye|VISION LOSS ACUTE|acute loss vision|acute vision loss|blindness sudden|loss; vision, sudden|sudden blindness|sudden loss of vision|sudden vision loss|sudden visual loss|sudden; blindness|sudden; visual loss|vision; loss, sudden		ICD10CM_2017:H53.13|ICD10CM_2017:H53.139|ICD9CM_2014:368.11|SNOMEDCT_US_2016_09_01:15203004|SNOMEDCT_US_2016_09_01:155140002|SNOMEDCT_US_2016_09_01:267724006
C0423746	Pain on penetration	Pain on penetration|Pain on penetration (finding)		SNOMEDCT_US_2016_09_01:279056004
C2129515	Lower back pain no longer radiates	lower back pain no longer radiates|lower back pain no longer radiates (symptom)		
C0860611	Physically restless	Physically restless		
C2127603	Right ankle catches during movement	right ankle catches during movement|right ankle catches during movement (symptom)|the right ankle catches during movement		
C2127195	Leg pain worse with weightbearing	leg pain worse with weightbearing|leg pain worse with weightbearing (symptom)|pain in the leg worse with weightbearing		
C0856125	Dysuria aggravated	Dysuria aggravated		
C2108687	Hip joint pain increased by turning foot inward while standing	hip joint pain increased by turning foot inward while standing|hip joint pain increased by turning foot inward while standing (symptom)		
C2144732	Tooth pain in posterior left lower jaw	tooth pain in posterior left lower jaw|tooth pain in posterior left lower jaw (symptom)|tooth pain in the posterior left lower jaw		
C0575087	Named sign of balance	Named sign of balance|Named sign of balance (finding)|Named signs of observation of balance		SNOMEDCT_US_2016_09_01:298309009
C2017356	Anterior prepatellar right knee soft tissue swelling	anterior prepatellar right knee soft tissue swelling|soft tissue swelling of right knee in front of kneecap|soft tissue swelling of right knee in front of kneecap (symptom)		
C0856570	Pain in (l) hip	Pain in (l) hip		
C2108064	Continuous cough	continuous cough|continuous cough (symptom)		
C1546654	Specimen source codes - granuloma	Granuloma|Specimen Source Codes - Granuloma		CSSO:CSSO_000123
C2129124	Left-sided hemiparesis not affecting the face	left-sided hemiparesis not affecting the face|weakness of left side not affecting face|weakness of left side not affecting face (symptom)		
C2127595	Right ankle suddenly 'locked up'	right ankle suddenly 'locked up'|right ankle suddenly 'locked up' (symptom)		
C2184232	Left arm soft tissue swelling	left arm soft tissue swelling|soft tissue swelling of left arm|soft tissue swelling of left arm (symptom)		
C2034456	Child's legs seem to be curved	child's legs seem to be curved|parental observations legs seem to be curved|parental observations legs seem to be curved (symptom)		
C2107733	Belching constant	belching constant|constant belching|constant belching (symptom)|constant burping|constant eructation		
C2116393	Tingling of left side of forehead	tingling of left side of forehead|tingling of left side of forehead (symptom)		
C2130058	Upper back pain unchanged with straining during bowel movement	upper back pain unchanged w/ straining during bowel movement|upper back pain unchanged with straining during bowel movement|upper back pain unchanged with straining during bowel movement (symptom)|upper back pain unchanged with straining during bowel movements		
C2919705	Soft pitting edema	Soft pitting edema|Soft pitting edema (finding)|Soft pitting oedema		SNOMEDCT_US_2016_09_01:445281006
C2129506	Upper back pain started gradually	upper back pain started gradually|upper back pain started gradually (symptom)		
C2367669	Involuntary recent weight gain	involuntary recent weight gain|recent involuntary weight gain|recent involuntary weight gain (symptom)		
C2127789	Pip joint of right index finger feels unstable	PIP joint of right index finger feels unstable|proximal interphalangeal joint of right index finger feels unstable|proximal interphalangeal joint of right index finger feels unstable (symptom)|right index finger PIP joint feels unstable|the right index finger PIP joint feels unstable		
C2219750	Numbness of outer side of left arm	numbness of outer side of left arm|numbness of outer side of left arm (symptom)		
C0333245	Massive edema	Massive edema|Massive edema (morphologic abnormality)|Massive oedema		SNOMEDCT_US_2016_09_01:49731008
C0849913	Erythema;localised	Erythema;localised|Localised erythema|Localized erythema|localised erythema|localized change in color of skin to red (erythema)|localized change in color of skin to red (erythema) (symptom)|localized erythema		
C1397923	Physiological; functional disturbance	physiological; functional disturbance		
C2017253	Left second toe soft tissue swelling over the distal phalanx	left second toe soft tissue swelling over the distal phalanx|soft tissue swelling of left second toe over distal phalanx|soft tissue swelling of left second toe over distal phalanx (symptom)		
C2232236	Skin crust of lateral aspect of right ankle	skin crust of lateral aspect of right ankle|skin crust of lateral aspect of right ankle (symptom)		
C2128178	Ankle pain worse with running	ankle pain worse with running|ankle pain worse with running (symptom)|joint pain ankle worse with weightbearing running		
C2127684	Right inner edge shoulder blade pain	right inner edge shoulder blade pain|right upper back pain along inner edge of shoulder blade|upper back pain along inner edge of right scapula|upper back pain along inner edge of right scapula (symptom)		
C0231786	Plantar heel pain	Plantar heel pain|Plantar heel pain (finding)		SNOMEDCT_US_2016_09_01:62171003
C2110490	Knee joint pain at rest	knee joint pain at rest|knee pain occurs at rest|knee pain occurs at rest (symptom)		
C2116341	Tingling of both arms and both legs	tingling of both arms and both legs|tingling of both arms and both legs (symptom)		
C0333262	Vesicles	VESICLE|VESICLES|Vesicle|Vesicle (morphologic abnormality)|Vesicle formation|vesicle|vesicles	CHV2011_02:a small liquid filled sac|NCI2016_02D:An abnormal fluid-filled cleft (e.g. as in the epidermis) or membrane-bound space.|NCI2016_CDISC_1602D:An abnormal fluid-filled cleft (e.g. as in the epidermis) or membrane-bound space.|SNOMEDCT_US_2016_09_01:A small (less than 1 cm) fluid-filled lesion, raised above the plane of surrounding skin|	SNOMEDCT_US_2016_09_01:82515000|CSSO:CSSO_000238
C0677500	Stinging	STINGING|Stinging|Stinging Sensation|stinging|stinging sensation		OMIM2016_04_17:MTHU048427
C2116436	Tingling of right arm	tingling of right arm|tingling of right arm (symptom)		
C3826517	Constipation in children	Constipation in children		
C2219313	Ring scotoma of both eyes	ring scotoma of both eyes|ring scotoma of both eyes (diagnosis)		
C0234705	Spherical aberration, vision	Spherical aberration of vision|Spherical aberration of vision (finding)|Spherical aberration, vision		SNOMEDCT_US_2016_09_01:46183008
C0751900	Motor tic	Motor 'tics'|Motor Tic|Motor Tics|Motor tic|Motor tics|Tic, Motor|Tics, Motor|motor tic|motor tics	HPO2016_07_04:Movement-based tics affecting discrete muscle groups. [HPO:sdoelken]|NCI2016_02D:A tic affecting muscle movement.|NCI2016_NICHD_1602D:A tic affecting muscle movement.|	HPO2016_07_04:HP:0100034|MSH2017_2016_08_12:D020323|OMIM2016_04_17:MTHU012548|OMIM2016_04_17:MTHU044365
C2127904	Mcp joint of left little finger feels 'out of place'	MCP joint of left little finger feels 'out of place'|left little finger MCP feels 'out of place'|metacarpophalangeal joint of left little finger feels 'out of place'|metacarpophalangeal joint of left little finger feels 'out of place' (symptom)|the left fifth MCP feels 'out of place'		
C2109061	Joint stiffness of wrists worst for first hour upon arising	joint stiffness of wrists worst for first hour upon arising|joint stiffness of wrists worst for first hour upon arising (symptom)|wrist joint stiffness worst for the first hour upon arising		
C2032362	Left heel pain worst with first few steps	left heel pain worst with first few steps|pain in left heel worse with first few steps|pain in left heel worse with first few steps (symptom)		
C3640013	Torturing pain	Torturing Pain	NCI2016_02D:A sensation of having discomfort or distress inflicted upon an individual.|	
C2128547	Lower back pain radiating to right ankle	lower back pain radiating to right ankle|lower back pain radiating to right ankle (symptom)|lower back pain radiating to the right ankle		
C0235083	Nerve tremors	Nerve Tremor|Nerve Tremors|TREMOR NERVE|Tremor nerve|Tremor, Nerve|Tremors, Nerve		MSH2017_2016_08_12:D014202
C2108858	Joint pain in left second toe precipitated by	joint pain in left second toe precipitated by|joint pain in left second toe precipitated by (symptom)|left second toe joint pain precipitated		
C2128570	Numbness from waist down posterior left leg to foot	numbness from waist down posterior left leg to foot|numbness from waist down posterior left leg to foot (symptom)		
C0010200	Cough symptom	C/O - cough|C/O - cough (context-dependent category)|COUGH|COUGHING|COUGHS|Complaining of cough|Complaining of cough (finding)|Cough|Cough (finding)|Cough [Disease/Finding]|Cough symptom|Cough symptom NOS|Cough symptom NOS (finding)|Cough, NOS|Coughing|Coughing (observable entity)|Coughing - function|Coughing - function (qualifier value)|Coughs|Finding of cough|Finding of cough (finding)|Observation of cough|[D]Cough|[D]Cough (context-dependent category)|[D]Cough (situation)|cough|cough (symptom)|cough symptom|cough symptoms|coughing|coughing symptom|coughs	HPO2016_07_04:A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation. [HPO:probinson]|MEDLINEPLUS_20151021:<p>Coughing is a reflex that keeps your throat and airways clear. Although it can be annoying, coughing helps your body heal or protect itself. Coughs can be either acute or chronic. Acute coughs begin suddenly and usually last no more than 2 to 3 weeks. Acute coughs are the kind you most often get with a <a href='https://www.nlm.nih.gov/medlineplus/commoncold.html'>cold</a>, <a href='https://www.nlm.nih.gov/medlineplus/flu.html'>flu</a>, or <a href='https://www.nlm.nih.gov/medlineplus/acutebronchitis.html'>acute bronchitis</a>. Chronic coughs last longer than 2 to 3 weeks. Causes of chronic cough include</p> <ul> <li><a href='https://www.nlm.nih.gov/medlineplus/chronicbronchitis.html'>Chronic bronchitis</a></li> <li><a href='https://www.nlm.nih.gov/medlineplus/asthma.html'>Asthma</a></li> <li><a href='https://www.nlm.nih.gov/medlineplus/allergy.html'>Allergies</a></li> <li><a href='https://www.nlm.nih.gov/medlineplus/copd.html'>COPD</a> (chronic obstructive pulmonary disease)</li> <li><a href='https://www.nlm.nih.gov/medlineplus/gerd.html'>GERD</a> (gastroesophageal reflux disease) </li> <li><a href='https://www.nlm.nih.gov/medlineplus/smoking.html'>Smoking</a></li> <li><a href='https://www.nlm.nih.gov/medlineplus/throatdisorders.html'>Throat disorders</a>, such as <a href='https://www.nlm.nih.gov/medlineplus/croup.html'>croup</a> in young children</li> <li>Some medicines </li> </ul> <p>Water can help ease your cough - whether you drink it or add it to the air with a steamy |MSH2017_2016_08_12:A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation. It is a protective response that serves to clear the trachea, bronchi, and/or lungs of irritants and secretions, or to prevent aspiration of foreign materials into the lungs.|NCI2016_02D:A sudden, often repetitive, spasmodic contraction of the thoracic cavity, resulting in violent release of air from the lungs, and usually accompanied by a distinctive sound.|NCI2016_CTCAE_1602D:A disorder characterized by sudden, often repetitive, spasmodic contraction of the thoracic cavity, resulting in violent release of air from the lungs and usually accompanied by a distinctive sound.|NCI2016_NICHD_1602D:A sudden, often repetitive, spasmodic release of air from the lungs accompanied by a distinctive sound.|	HPO2016_07_04:HP:0012735|ICD10CM_2017:R05|ICD9CM_2014:786.2|MSH2017_2016_08_12:D003371|OMIM2016_04_17:MTHU015709|SNOMEDCT_US_2016_09_01:139176003|SNOMEDCT_US_2016_09_01:139190000|SNOMEDCT_US_2016_09_01:158383001|SNOMEDCT_US_2016_09_01:161921002|SNOMEDCT_US_2016_09_01:161935000|SNOMEDCT_US_2016_09_01:207066005|SNOMEDCT_US_2016_09_01:263731006|SNOMEDCT_US_2016_09_01:272039006|SNOMEDCT_US_2016_09_01:301235001|SNOMEDCT_US_2016_09_01:49727002|SO:SYMP_0000614|CSSO:CSSO_000094
C2367651	Paralysis of both wrists	paralysis of both wrists|paralysis of both wrists (symptom)		
C2073302	Chest pain localizing to chest wall on right laterally	chest pain localizing to chest wall on right laterally|chest pain localizing to chest wall on right laterally (symptom)|chest pain localizing to the right chest wall laterally		
C0239517	Face paresthesia	FACE PARESTHESIA|FACIAL PARESTHESIA|Facial paraesthesia|Facial paresthesia|Facial paresthesia (finding)|face paresthesias|facial paraesthesia|facial paresthesia		SNOMEDCT_US_2016_09_01:95665007
C2075743	A clicking sensation in the left ring finger	a clicking sensation in the left ring finger|clicking sensation felt in ring finger of left hand|clicking sensation felt in ring finger of left hand (symptom)|clicking sensation in left ring finger		
C1960601	Head pressing	Head pressing|Head pressing (finding)		SNOMEDCT_US_2016_09_01:427586006|SO:SYMP_0000710
C2126210	Ankle joint pain with active movement	ankle joint pain with active movement|ankle pain when actively moved|ankle pain when actively moved (symptom)|ankle pain with active movement|joint pain in the ankle when actively moved		
C0848589	Irritation;nerve root;lumbosac	Irritation;nerve root;lumbosac|lumbosacral nerve root irritation		
C0746783	Nausea postprandial	NAUSEA POSTPRANDIAL|Postprandial nausea		
C2199611	Easy bleeding tendency which restarts after having stopped	easy bleeding tendency which restarts after having stopped|easy bleeding tendency which restarts after having stopped (symptom)|easy bleeding with restarting after having stopped		
C0850760	Cardiovascular problem	Problem;cardiovascular|cardiovascular problem|cardiovascular problems		
C2219854	Anxiety with an anticipation of misfortune to self or others	anxiety with an anticipation of misfortune to self or others|anxiety with anticipation of misfortune|anxiety with anticipation of misfortune (symptom)		
C0151838	Numbness circumoral	CIRCUMORAL PARESTHESIA|Circumoral paraesthesia|Circumoral paresthesia|Circumoral paresthesia (finding)|NUMBNESS CIRCUMORAL|PARAESTHESIA CIRCUMORAL|PARESTHESIA CIRCUMORAL|Paraesthesia circumoral|Parasthesiae circumoral|Paresthesia circumoral		SNOMEDCT_US_2016_09_01:1141007
C2232780	Shoulder joint pain improved by ice	shoulder joint pain improved by ice|shoulder joint pain improved by ice (symptom)		
C2017077	Central plantar right forefoot pain radiating to the 2nd toe	central plantar right forefoot pain radiating to the 2nd toe|pain on bottom of right forefoot center radiating to 2nd toe|soft tissue pain on bottom of right center forefoot radiating to second toe|soft tissue pain on bottom of right center forefoot radiating to second toe (symptom)		
C0156728	Edema or excessive weight gain in pregnancy no hypertension	Edema or excessive weight gain in pregnancy no hypertension|Edema or excessive weight gain in pregnancy without mention of hypertension|Edema or excessive weight gain in pregnancy without mention of hypertension (disorder)|Edema or excessive weight gain in pregnancy, without mention of hypertension|Edema/excess wt gain in preg|Oedema or excessive weight gain in pregnancy no hypertension|Oedema or excessive weight gain in pregnancy without mention of hypertension|Oedema or excessive weight gain in pregnancy, without mention of hypertension|Oedema/excess wt gain in preg		ICD9CM_2014:646.1|SNOMEDCT_US_2016_09_01:199072001|SNOMEDCT_US_2016_09_01:267202005
C2109014	Stiffness in little toe	stiffness in little toe|stiffness in little toe (symptom)		
C0860193	Restlessness (drug related)	Restlessness (drug related)		
C0839426	Myalgia, upper arm	Myalgia, upper arm		
C2129641	Red streaking going up left arm	red streaking going up left arm|red streaking going up left arm (symptom)|red streaking going up the left arm		
C2233588	Flank pain gradual onset	flank pain gradual onset|flank pain with gradual onset|gradual onset of flank pain|gradual onset of flank pain (symptom)		
C1410958	Smothering spells	smothering spells|suffocation; spells		
C1960988	Pain radiating to middle abdomen	Pain radiating to middle abdomen|Pain radiating to middle abdomen (finding)		SNOMEDCT_US_2016_09_01:427668002
C0423740	Tenesmus present	Tenesmus present|Tenesmus present (context-dependent category)|Tenesmus present (disorder)|Tenesmus present (situation)		SNOMEDCT_US_2016_09_01:139362005|SNOMEDCT_US_2016_09_01:162086005
C0751143	Hemifacial paralysis	Hemifacial Paralysis|Paralyses, Hemifacial|Paralysis, Hemifacial		MSH2017_2016_08_12:D005158
C1860844	Sparse, thin hair	Sparse, thin hair|Thin, sparse hair		HPO2016_07_04:HP:0008070|OMIM2016_04_17:MTHU015216|OMIM2016_04_17:MTHU022778
C2127367	Redness under inner lower eyelid od	redness under inner lower eyelid OD|redness under inner lower eyelid right|redness under medial aspect of right lower eyelid|redness under medial aspect of right lower eyelid (symptom)|redness under right inner lower eyelid		
C2128016	Sensation of something floating in left second toe	sensation of something floating in left second toe|sensation of something floating in left second toe (symptom)		
C0239512	Facial pain, unilateral	FACIAL PAIN, UNILATERAL|facial pain occurring on one side only|one-sided facial pain|unilateral facial pain|unilateral facial pain (symptom)		
C2032327	Hand pain worse at night	hand pain worse at night|pain in hands worse at night|pain in hands worse at night (symptom)		
C2037193	Fever started suddenly	fever started suddenly|fever, sudden onset|sudden onset fever|sudden onset of fever|sudden onset of fever (symptom)		SO:SYMP_0000671
C0234446	Cantelli's sign	Cantelli's sign|Doll's eye sign|Doll's eye sign (finding)		SNOMEDCT_US_2016_09_01:69447000
C2219916	Brownish skin discoloration localized on lower legs	brownish skin discoloration localized on lower legs|brownish skin discoloration localized on lower legs (symptom)		
C2074681	Chronic discharge from left ear	chronic discharge from left ear|chronic discharge from left ear (symptom)|chronic discharge from the left ear		
C2228533	Excessive weight gain during first pregnancy	excessive weight gain during first pregnancy|excessive weight gain during first pregnancy (symptom)		
C2108878	Unrelenting joint pain in right great toe	unrelenting joint pain in right great toe|unrelenting joint pain in right great toe (symptom)|unrelenting joint pain of right great toe		
C2020322	Right third mtp stiffness	right third MTP stiffness|stiffness of MTP joint in right middle toe|stiffness of metatarsophalangeal joint in right middle toe|stiffness of metatarsophalangeal joint in right middle toe (symptom)		
C2219823	Bone pain in right lower leg	bone pain in right leg (below the knee)|bone pain in right lower leg|bone pain in right lower leg (symptom)|bone pain in the right leg		
C2126986	Eyelid swollen and tender	eyelid swollen and tender|eyelid swollen and tender (symptom)		
C0086437	Joint hypermobility	Hypermobilities, Joint|Hypermobility, Joint|JOINT HYPERMOBILITY|Joint Hypermobilities|Joint Hypermobility|Joint Laxities|Joint Laxity|Joint laxity|Joint laxity (finding)|Joints--Hypermobility|Lax joints|Laxities, Joint|Laxity, Joint|Loose-jointedness|Loosejointedness|hypermobility joint|hypermobility joints|joint hypermobility|joint laxity	HPO2016_07_04:Lack of stability of a joint. [HPO:probinson]|	HPO2016_07_04:HP:0001388|MSH2017_2016_08_12:D007593|OMIM2016_04_17:MTHU001148|SNOMEDCT_US_2016_09_01:298203008
C0858627	Intrapleural fluid retention of	Intrapleural fluid retention of		
C0548823	Gastrointestinal distress	DISTRESS GASTROINTESTINAL|Distress gastrointestinal|GASTROINTESTINAL DISTRESS|Gastrointestinal distress|gastrointestinal distress		
C2047125	Gradual onset of hot flashes	gradual onset of hot flashes|gradual onset of hot flashes (symptom)		
C3835653	Sudden paralysis ocurring after strenuous exercise	sudden paralysis ocurring after strenuous exercise|sudden paralysis ocurring after strenuous exercise (symptom)		
C2128760	Right fourth toe soft tissue swelling at the tip	right fourth toe soft tissue swelling at the tip|soft tissue swelling of right fourth toe tip|soft tissue swelling of right fourth toe tip (symptom)		
C2607896	Discomfort of vulva	Discomfort of vulva|Discomfort of vulva (finding)|VULVA DISCOMFORT|Vulva discomfort|Vulval discomfort|Vulvar discomfort		SNOMEDCT_US_2016_09_01:46694006
C2233573	Ethmoid sinus pressure	ethmoid sinus pressure|ethmoid sinus pressure (symptom)		
C0231608	Girdle pain	Girdle pain|Girdle pain (finding)		SNOMEDCT_US_2016_09_01:53574006
C0239451	Eyelid burning sensation	EYELID BURNING SENSATION|Eyelid burning sensation		
C3640010	Killing pain	Killing Pain	NCI2016_02D:A sensation of extreme discomfort and anguish that is perceived as severe enough to cause one's death.|	
C2127583	Sensation of something floating in left knee	sensation of something floating in left knee|sensation of something floating in left knee (symptom)		
C0231745	Cinema sign	Cinema sign|Cinema sign (finding)|Theater sign		SNOMEDCT_US_2016_09_01:75852006
C2029721	Headache exacerbated by teeth clenching	headache exacerbated by teeth clenching|headache exacerbated by teeth clenching (symptom)|headache made worse by clenching the teeth|headache worse when clenching the teeth		
C2219942	Fear of loss of control of eating	fear of loss of control of eating|fear of loss of control of eating (symptom)		
C2138235	Coughing up purulent sputum	coughing up purulent sputum|coughing up thick yellow-green sputum|coughing up thick yellow-green sputum (symptom)		
C2128343	Bone pain of posterior aspect of right heel	bone pain of posterior aspect of right heel|bone pain of posterior aspect of right heel (symptom)|posterior right heel bone pain		
C2108897	Joint pain in toes when actively moved	joint pain in toes when actively moved|joint pain in toes when actively moved (symptom)|toe joint pain with active movement		
C0877181	Injection site joint redness	Injection site joint redness		
C2016965	Soft tissue pain in left third toe	soft tissue pain in left third toe|soft tissue pain in left third toe (symptom)|soft tissue pain in the left third toe		
