Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C2219865	Anxiety with frequent urination or diarrhea	anxiety with frequent urination or diarrhea|anxiety with frequent urination or diarrhea (symptom)		
C0004604	Pain back	Ache, Back|Aches, Back|BACK ACHE|BACK PAIN|BACKACHE|BACKPAIN|Back Ache|Back Aches|Back Pain|Back Pain [Disease/Finding]|Back Pains|Back ache|Back pain|Back pain (disorder)|Back pain (finding)|Back pain - finding|Back pain NOS|Back pain, unspecified|Backache|Backache (disorder)|Backache (finding)|Backache - disorder|Backache - finding|Backache NOS|Backache symptom|Backache symptom (finding)|Backache symptom NOS|Backache symptom NOS (disorder)|Backache symptom NOS (finding)|Backache, NOS|Backache, unspecified|Backache, unspecified (disorder)|Backache, unspecified (finding)|Backache; unspecified|Backaches|DORSAL BACK PAIN|DORSAL PAIN|Dorsal pain|Dorsalgia|Dorsalgia (diagnosis)|Dorsalgia (finding)|Dorsalgia, unspecified|Dorsodynia|Notalgia|PAIN BACK|PAIN DORSAL|Pain back|Pain dorsal|Pain in back|Pain over the back|Pain, Back|Pain;back|Pains, Back|Unspecified dorsalgia|ache back|aches back|and back pain|back ache|back ache (diagnosis)|back aches|back over pain|back pain|back pain (symptom)|back pain in|back pain over|back paining|back pains|back; pain|backache|backache symptom|backache symptoms|backaches|backpain|backs pain|dorsal back pain|dorsal pain|dorsalgia|dorsalgia unspecified|dorsodynia|dorsopathy dorsalgia|notalgia|pain in back|pain over the back|pain; back|unspecified back pain	CSP2006:acute or chronic pain located in the posterior regions of the thorax, lumbosacral region, or the adjacent regions.|HPO2016_07_04:An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the back. []|ICF-CY_2008:Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the back.|ICF_2008_12_19:Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the back.|MEDLINEPLUS_20151021:<p>If you've ever groaned, "Oh, my aching back!", you are not alone. Back pain is one of the most common medical problems, affecting 8 out of 10 people at some point during their lives. Back pain can range from a dull, constant ache to a sudden, sharp pain. Acute back pain comes on suddenly and usually lasts from a few days to a few weeks. Back pain is called chronic if it lasts for more than three months.</p> <p>Most back pain goes away on its own, though it may take awhile. Taking over-the-counter pain relievers and resting can help. However, staying in bed for more than 1 or 2 days can make it worse. </p> <p>If your back pain is severe or doesn't improve after three days, you should call your health care provider. You should also get medical attention if you have back pain following an <a href='https://www.nlm.nih.gov/medlineplus/backinjuries.html'>injury</a>.</p> <p>Treatment for back pain depends on what kind of pain you have, and what is causing it. It may include hot or cold packs, exercise, medicines, injections, complementary treatments, and sometimes surgery.</p> <p >NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases</p>|MSH2017_2016_08_12:Acute or chronic pain located in the posterior regions of the THORAX; LUMBOSACRAL REGION; or the adjacent regions.|NCI2016_02D:Painful sensation in the back region.|NCI2016_CTCAE_1602D:A disorder characterized by marked discomfort sensation in the back region.|NCI2016_NICHD_1602D:Pain localized to the back.|	HPO2016_07_04:HP:0003418|ICD10CM_2017:M54|ICD10CM_2017:M54.9|ICD9CM_2014:724.5|MSH2017_2016_08_12:D001416|OMIM2016_04_17:MTHU009307|SNOMEDCT_US_2016_09_01:139146005|SNOMEDCT_US_2016_09_01:139148006|SNOMEDCT_US_2016_09_01:139154007|SNOMEDCT_US_2016_09_01:156651006|SNOMEDCT_US_2016_09_01:161889002|SNOMEDCT_US_2016_09_01:161891005|SNOMEDCT_US_2016_09_01:161897009|SNOMEDCT_US_2016_09_01:16986008|SNOMEDCT_US_2016_09_01:202800008|SNOMEDCT_US_2016_09_01:22913005|SNOMEDCT_US_2016_09_01:267984001|SNOMEDCT_US_2016_09_01:268083007|SNOMEDCT_US_2016_09_01:365882001|SNOMEDCT_US_2016_09_01:373589003|SNOMEDCT_US_2016_09_01:373634007|SNOMEDCT_US_2016_09_01:373644009|SNOMEDCT_US_2016_09_01:399079008|SNOMEDCT_US_2016_09_01:419258005|SO:SYMP_0000006|CSSO:CSSO_000067
C2114686	Currently breastfeeding with pain in left breast after lactation	currently breastfeeding with pain in left breast after lactation|currently breastfeeding with pain in left breast after lactation (symptom)|left breast pain after lactation		
C0857361	Headache occurring	Headache occurring|frequency of headache|frequency of headache (symptom)|headache occurring		
C0234532	Convulsed	Convulsed|convulsed|convulsing		
C2108794	Joint pain in right second toe worsens with weightbearing	joint pain in right second toe worsens with weightbearing|joint pain in right second toe worsens with weightbearing (symptom)		
C0497364	Localize rash	Local redness/erythema/rash|Localised rash|Localized rash|Rash localized|Rash;localised|localised rash|localize rash|localized rash|localized skin rash|localized skin rash (symptom)|rash localized|skin rash localized [as symptom]		
C2032257	Pain in metacarpophalangeal joint of index finger of right hand	pain in metacarpophalangeal joint of index finger of right hand|pain in metacarpophalangeal joint of index finger of right hand (symptom)|right second MCP pain		
C2129590	Left great toe overlaps adjacent toe	left great toe overlaps adjacent toe|left great toe overlaps adjacent toe (symptom)|the left great toe overlaps the adjacent toe		
C2232217	Skin crust of lateral aspect of left knee	skin crust of lateral aspect of left knee|skin crust of lateral aspect of left knee (symptom)		
C0024528	Fatigue malaise	(non-specific) malaise and fatigue|Malaise and fatigue|Malaise and fatigue (finding)|Malaise and fatigue NOS|[D]Malaise and fatigue|[D]Malaise and fatigue (context-dependent category)|[D]Malaise and fatigue (situation)|[D]Malaise and fatigue NOS|[D]Malaise and fatigue NOS (context-dependent category)|[D]Malaise and fatigue NOS (situation)|fatigue malaise|malaise fatigue		ICD10CM_2017:R53|ICD9CM_2014:780.7|SNOMEDCT_US_2016_09_01:158167007|SNOMEDCT_US_2016_09_01:158173008|SNOMEDCT_US_2016_09_01:206765009|SNOMEDCT_US_2016_09_01:206773000|SNOMEDCT_US_2016_09_01:271795006
C0857030	Ache across chest	Ache across chest		
C2127818	Dip joint of left ring finger feels unstable	DIP joint of left ring finger feels unstable|distal interphalangeal joint of left ring finger feels unstable|distal interphalangeal joint of left ring finger feels unstable (symptom)|left ring finger DIP joint feels unstable|the left ring finger DIP joint feels unstable		
C2874197	Symptoms such as flushing, sleeplessness, headache, lack of concentration, associated with premature menopause	Symptoms such as flushing, sleeplessness, headache, lack of concentration, associated with premature menopause		ICD10CM_2017:E28.310
C0863164	Headache discomfort	Headache discomfort		
C0850652	Nipple pain female	Nipple pain female|Pain;nipple;F|nipple pain		
C2034431	Child exhibits no language at age 12 months	child exhibits no language at age 12 months|parental concerns no language at age 12 months|parental concerns no language at age 12 months (symptom)		
C2127913	Snapping sensation in right wrist	snapping sensation in right wrist|snapping sensation in right wrist (symptom)		
C2127528	Right leg muscle atrophy	right leg muscle atrophy|right leg muscles decreasing in size|right leg muscles decreasing in size (symptom)		
C2127225	Hand muscle cramps precipitated by exercise	hand muscle cramps precipitated by exercise|muscle cramps in hands precipitated by exercise|muscle cramps in hands precipitated by exercise (symptom)		
C2110473	Knee pain improved by medication	knee pain improved by medication|knee pain improved by medication (symptom)		
C0458170	Pain following administration of agent	Pain following administration of agent|Pain following administration of agent (finding)		SNOMEDCT_US_2016_09_01:279051009
C0578994	Bad mouth taste	Bad taste in mouth|Bad taste in mouth (finding)|Bad;taste (in mouth)|Unpleasant taste in mouth|Unpleasant taste in mouth (finding)|bad mouth taste|bad taste in mouth|bad taste mouth|mouth bad taste		SNOMEDCT_US_2016_09_01:302188001|SNOMEDCT_US_2016_09_01:349084003|SNOMEDCT_US_2016_09_01:366959007|SNOMEDCT_US_2016_09_01:367184004
C2108000	Contact lenses make eyes feel dry	contact lenses make eyes feel dry|contact lenses make eyes feel dry (symptom)		
C2127381	Redness of inner upper eyelid os	redness of inner upper eyelid OS|redness of inner upper eyelid left|redness of medial aspect of left upper eyelid|redness of medial aspect of left upper eyelid (symptom)		
C0854080	Painful response to normal stimuli	Painful response to normal stimuli		
C0271188	Visual halos	Halo|Visual Halo|Visual Halos|Visual halos|Visual halos (disorder)|Visual halos (finding)|halo; visual	NCI2016_02D:Hazy ring around bright lights seen by some patients with refractive error or optical defects, e.g. cataracts, or corneal swelling.|NCI2016_FDA_1602D:Hazy ring around bright lights seen by some patients with refractive error or optical defects, e.g. cataracts, or corneal swelling.|	ICD10CM_2017:H53.19|SNOMEDCT_US_2016_09_01:193650008|SNOMEDCT_US_2016_09_01:83551002
C2127916	The wrist catches during movement	the wrist catches during movement|wrist catches during movement|wrist catches during movement (symptom)		
C2127884	Mcp joint of right little finger feels 'out of place'	MCP joint of right little finger feels 'out of place'|metacarpophalangeal joint of right little finger feels 'out of place'|metacarpophalangeal joint of right little finger feels 'out of place' (symptom)|right little finger MCP feels 'out of place'|the right fifth MCP feels 'out of place'		
C2048791	Character deficiency inconsiderate	character deficiency inconsiderate|inconsiderate|inconsiderate (symptom)		
C2129465	Lower back pain worsens during storms	lower back pain worsens during storms|lower back pain worsens during storms (symptom)		
C0234190	Hypesthesia, thermal	Hypesthesia, Thermal|Hypesthesias, Thermal|Thermal Hypesthesia|Thermal Hypesthesias|Thermal hypaesthesia|Thermal hypesthesia|Thermal hypesthesia (finding)		MSH2017_2016_08_12:D006987|SNOMEDCT_US_2016_09_01:1140008
C0576995	Pharyngeal bleed	Bleeding from throat|Bleeding from throat (finding)|Bleeding of pharynx|Bleeding of pharynx (finding)|HAEMORRHAGE PHARYNGEAL|HEMORRHAGE PHARYNGEAL|Haemorrhage from pharynx|Haemorrhage from throat|Haemorrhage pharyngeal|Hemorrhage from pharynx|Hemorrhage from pharynx (disorder)|Hemorrhage from pharynx (disorder) [Ambiguous]|Hemorrhage from throat|Hemorrhage from throat (disorder)|Hemorrhage pharyngeal|Observation of bleeding of pharynx|PHARYNGEAL BLEED|PHARYNGEAL BLEEDING|Pharyngeal Hemorrhage|Pharyngeal bleeding|Pharyngeal haemorrhage|Pharyngeal hemorrhage|Pharyngeal hemorrhage (disorder)|Throat haemorrhage|Throat hemorrhage|[D]Throat haemorrhage|[D]Throat haemorrhage (situation)|[D]Throat hemorrhage|[D]Throat hemorrhage (context-dependent category)|[D]Throat hemorrhage (situation)|bleeding from throat|bleeding of pharynx|bleeding of pharynx (physical finding)|bleeding throat|bleeding throats|bleeds throat|hemorrhage from throat|hemorrhage from throat (physical finding)|hemorrhage; throat|respiratory passages hemorrhage from throat|throat bleed|throat bleeding|throat; hemorrhage	NCI2016_02D:Bleeding originating from the pharynx.|NCI2016_CTCAE_1602D:A disorder characterized by bleeding from the pharynx.|	ICD10CM_2017:R04.1|ICD9CM_2014:784.8|SNOMEDCT_US_2016_09_01:111276003|SNOMEDCT_US_2016_09_01:158325005|SNOMEDCT_US_2016_09_01:206994009|SNOMEDCT_US_2016_09_01:271819006|SNOMEDCT_US_2016_09_01:274709008|SNOMEDCT_US_2016_09_01:300273006|SNOMEDCT_US_2016_09_01:324618004|SNOMEDCT_US_2016_09_01:325569000|SO:SYMP_0000506
C0341742	Urinary retention acute	ARU - Acute retention of urine|Acute retention|Acute retention of urine|Acute retention of urine (disorder)|Acute urinary retention|URINARY RETENTION ACUTE|[D]Acute retention of urine|[D]Acute retention of urine (context-dependent category)|[D]Acute retention of urine (situation)|acute retention|acute retention of urine|acute urinary retention|acute urinary retention (diagnosis)|acute urine retention		SNOMEDCT_US_2016_09_01:158465008|SNOMEDCT_US_2016_09_01:207167004|SNOMEDCT_US_2016_09_01:236648008
C2116434	Tingling of outer aspect of right thigh	tingling of outer aspect of right thigh|tingling of outer aspect of right thigh (symptom)		
C2202997	Quadriparesis developed in a clockwise fashion	quadriparesis developed in a clockwise fashion|weakness in all four limbs developed clockwise|weakness in all four limbs developed clockwise (symptom)		
C2127146	Burning sensation in left outer thigh	burning sensation in left outer thigh|burning sensation in left outer thigh (symptom)		
C0039971	Thirst	Desire for drinks|Desire for fluids|THIRST|Thirst|Thirst (finding)|Thirst (function)|Thirst, function|Thirst, function (observable entity)|Thirsts|thirst	CSP2006:sensation associated with a craving to drink, ordinarily interpreted as a desire for water.|MSH2017_2016_08_12:A drive stemming from a physiological need for WATER.|MSHNOR2016:Eit driv som kjem av eit fysiologisk behov for vatn.|	MSH2017_2016_08_12:D013894|SNOMEDCT_US_2016_09_01:157743009|SNOMEDCT_US_2016_09_01:249476007|SNOMEDCT_US_2016_09_01:269427006|SNOMEDCT_US_2016_09_01:59299002|SO:SYMP_0000156
C2020349	Left knee joint stiffness	Stiffness of left knee|Stiffness of left knee (finding)|left knee joint stiffness|stiffness of left knee|stiffness of left knee (symptom)		SNOMEDCT_US_2016_09_01:321931000119102
C2032275	Pain in right second toe distal interphalangeal joint	pain in right second toe distal interphalangeal joint|pain in right second toe distal interphalangeal joint (symptom)|right second toe DIP joint pain		
C2129524	Inability to stand erect getting progressively worse	inability to stand erect getting progressively worse|unable to stand erect progressively worse|unable to stand erect progressively worse (symptom)		
C2126167	Lump left lower gum outside front	lump left lower gum outside front|lump on anterior buccal surface of left lower gum|lump on anterior buccal surface of left lower gum (symptom)		
C2896445	Pain in axillary region	Pain in axillary region		ICD10CM_2017:M79.62
C3854585	Phlegm discolored	Phlegm discolored|Phlegm discoloured		
C2957223	Baby's (in uterus) early movements swishes	baby's (in uterus) early movements swishes|baby's (in uterus) early movements swishes (symptom)		
C0235296	Epigastric pain not food-related	EPIGASTRIC PAIN NOT FOOD-RELATED|Epigastric pain not food-related		
C2108915	Unrelenting joint pain in wrist	unrelenting joint pain in wrist|unrelenting joint pain in wrist (symptom)|unrelenting wrist joint pain		
C0277941	Blanch skin	Blanching of skin|Blanching of skin (finding)|Whiteness of skin|blanch skin|blanching of skin|blanching skin|skin blanching		SNOMEDCT_US_2016_09_01:4470009
C1541626	(c/o - pain: [loin] or [lumbar] or [renal]) or (lumbar ache - renal)	(C/O - pain: [loin] or [lumbar] or [renal]) or (lumbar ache - renal)|(C/O - pain: [loin] or [lumbar] or [renal]) or (lumbar ache - renal) (finding)		SNOMEDCT_US_2016_09_01:162141005
C2129584	Right little toe turns in	right little toe turns in|right little toe turns in (symptom)|the right little toe turns in		
C2110629	Knee suddenly buckled going downstairs	knee suddenly buckled going downstairs|knee suddenly buckled going downstairs (symptom)|the knee suddenly buckled going downstairs		
C2128208	Elbow soft tissue pain	elbow soft tissue pain|elbow soft tissue pain (symptom)		
